Salesman Code,Merge,Salesman BI,Product Group,April,May,June,July,August,September,October,November,December,January,February,March
5490000718,5490000718RD,5490000718,RD,630.40000000000009,1179.2,963.20000000000016,752.2,1510.0999999999997,849.6,1098,653.70000000000005,1173.1000000000001,1571.5,1436.8,2088.9
5490000718,5490000718TKM,5490000718,TKM,1142.4000000000001,765.60000000000025,1363.2000000000003,542.4,1291.1999999999998,988.8,1036.8000000000002,604.80000000000007,867.59999999999991,561.59999999999991,708,1184.4000000000001
5490000718,5490000718FP,5490000718,FP,442.32,293.88,10.199999999999999,144,3150.6,,407.4,108,118.2,10.199999999999999,,
5490000718,5490000718PDC,5490000718,PDC,236.03580000000002,337.08240000000001,83.982600000000005,241.98119999999992,270.20700000000005,94.787999999999997,272.81879999999995,271.40219999999999,164.87639999999999,183.20399999999998,186.80759999999998,176.92919999999998
5490000718,5490000718RM,5490000718,RM,227.2,163.5,258.2,147,166,204.6,194.4,174.7,284,85.6,18,482.29999999999995
5490000718,5490000718RDC,5490000718,RDC,84.960000000000008,253.44,211.67999999999998,177.12,216,144,325.43999999999994,96.480000000000018,190.08,139.68,34.56,459.35999999999996
5490000718,5490000718AJP,5490000718,AJP,151.19999999999999,171.36000000000004,171.36,80.64,181.44000000000005,120.96000000000001,362.87999999999994,,,70.56,514.07999999999993,20.16
5490000718,5490000718RKR,5490000718,RKR,122.4,106.19999999999999,91.800000000000011,66.599999999999994,124.19999999999999,23.4,277.2,32.4,136.79999999999998,63,71.999999999999986,79.2
5490000718,5490000718FP,5490000718,FP,,,,,,,,,,,21.024000000000001,348.79199999999997
5490000718,5490000718AMV,5490000718,AMV,19.99999999968,6.9999999998880007,11.999999999808001,26.999999999568001,6.9999999998880007,20.999999999663999,35.999999999423999,9.99999999984,37.999999999392003,0.99999999998400013,4.99999999992,59.999999999040007
5490000718,5490000718QM,5490000718,QM,,,,,,,,,,104,50,
5490000718,5490000718SWEET,5490000718,SWEET,12,,,,,,,,,,,
5490000718,5490000718STICK,5490000718,STICK,,9.36,,,,,,,,,,
5490000717,5490000717AJ,5490000717,AJ,209871.2,102929.79999999999,150764.1,173563.1,116599.29999999999,135695,200239.50000000003,122404.90000000001,165910.90000000002,137059.79999999999,91694.8,239399.8
5490000717,5490000717RD,5490000717,RD,180237.56000000003,63610.619999999988,105005.68000000004,118706.57999999997,98137.380000000019,119604.91999999998,97990.979999999981,123270.72000000004,158118.53999999998,129151.71999999999,80159.920000000013,148168.28000000003
5490000703,5490000717YY,5490000717,YY,128507.99999830886,87536.99999858877,90041.999998686821,90681.999998773754,77959.999998857136,145942.99999817676,124533.99999847672,90102.999998724728,110547.99999842915,121357.99999811433,88142.999998608342,122332.99999819462
5490000703,5490000717BD,5490000717,BD,55596.999999452186,23080.999999772579,23242.999999777683,37392.99999962849,42983.999999579661,33341.999999672968,54124.999999463435,51739.999999513551,54645.999999467851,46290.999999550804,18550.99999981745,46268.99999954438
5490000703,5490000717PDC,5490000717,PDC,48870.723000000005,23250.269399999994,21047.891999999996,39786.344400000009,29118.31199999998,34908.675600000031,34973.792400000006,56204.787000000018,46399.067400000022,47689.205400000013,25511.432999999997,34595.957400000007
5490000717,5490000717RM,5490000717,RM,18084.499999999989,11270.099999999997,12770.100000000004,14651.399999999992,12186.699999999993,13219.299999999992,13329.299999999997,15381.799999999992,18951.099999999988,14109.399999999996,13722.400000000005,18678.200000000012
5490000717,5490000717TKM,5490000717,TKM,13520.399999999998,11105.999999999993,15915.599999999984,11281.199999999997,14844.000000000002,14519.999999999996,11487.599999999993,11629.199999999995,12431.999999999996,11974.79999999999,11613.599999999997,11867.999999999998
